Year,Area,Production,Yield,Area under Irrigation(%)
1951-52,29.83,21.3,714,31.71
1952-53,29.97,22.9,764,32.3
1953-54,31.29,28.21,902,33.59
1954-55,30.77,25.22,820,34.41
1955-56,31.52,27.56,874,34.88
1956-57,32.28,29.04,900,35.45
1957-58,32.3,25.53,790,36.38
1958-59,33.17,30.85,930,36.29
1959-60,33.82,31.68,937,35.84
1960-61,34.13,34.58,1013,36.77
1961-62,34.69,35.66,1028,37.47
1962-63,35.69,33.21,931,37.39
1963-64,35.81,37,1033,37.08
1964-65,36.46,39.31,1078,37.28
1965-66,35.47,30.59,862,36.53
1966-67,35.25,30.44,864,37.95
1967-68,36.44,37.61,1032,38.56
1968-69,36.97,39.76,1075,38.42
1969-70,37.68,40.43,1073,38.23
1970-71,37.59,42.22,1123,38.36
1971-72,37.76,43.07,1141,37.21
1972-73,36.69,39.24,1070,39.08
1973-74,38.29,44.05,1150,38.38
1974-75,37.89,39.58,1045,38.81
1975-76,39.48,48.74,1235,38.66
1976-77,38.51,41.92,1089,38.39
1977-78,40.28,52.67,1308,40.21
1978-79,40.48,53.77,1328,41.64
1979-80,39.42,42.33,1074,42.83
1980-81,40.15,53.63,1336,40.67
1981-82,40.71,53.25,1308,41.53
1982-83,38.26,47.12,1232,41.96
1983-84,41.24,60.1,1457,42.7
1984-85,41.16,58.34,1417,43.72
1985-86,41.14,63.83,1552,42.86
1986-87,41.17,60.56,1471,44.09
1987-88,38.81,56.86,1465,43.61
1988-89,41.73,70.49,1689,45.79
1989-90,42.17,73.57,1745,46.09
1990-91,42.69,74.29,1740,45.55
1991-92,42.65,74.68,1751,47.3
1992-93,41.78,72.86,1744,48.02
1993-94,42.54,80.3,1888,48.6
1994-95,42.81,81.81,1911,49.87
1995-96,42.84,76.98,1797,49.91
1996-97,43.43,81.73,1882,53.46
1997-98,43.45,82.54,1900,53.22
1998-99,44.8,86.08,1921,55.08
1999-00,45.16,89.68,1986,55.09
2000-01,44.71,84.98,1901,54.37
2001-02,44.9,93.34,2079,54.56
2002-03,41.18,71.82,1744,51.32
2003-04,42.59,88.53,2079,52.89
2004-05,41.91,83.13,1984,55.23
2005-06,43.66,91.79,2102,56.83
2006-07,43.81,93.36,2131,58.02
2007-08,43.91,96.69,2202,57.73
2008-09,45.54,99.18,2178,58.8
2009-10,41.92,89.09,2125,56.88
2010-11,42.86,95.98,2239,58.83
2011-12,44.01,105.3,2393,58.57
2012-13,42.75,105.23,2461,58.48
2013-14,44.14,106.65,2416,59.65
2014-15,44.11,105.48,2391,60.09
2015-16,43.5,104.41,2400,-
2016-17,43.99,109.7,2494,-
2017-18*,43.79,112.91,2578,-
