Year,Area,Production,Yield,Area under Irrigation(%)
1950-51,9.75,6.46,663,33.99
1951-52,9.47,6.18,653,35.76
1952-53,9.83,7.5,763,37.15
1953-54,10.68,8.02,750,36.16
1954-55,11.26,9.04,803,35
1955-56,12.37,8.76,708,32.67
1956-57,13.52,9.4,695,29.37
1957-58,11.73,7.99,682,33.32
1958-59,12.62,9.96,789,31.83
1959-60,13.38,10.32,772,31.84
1960-61,12.93,11,851,32.74
1961-62,13.57,12.07,890,31.89
1962-63,13.59,10.78,793,33.8
1963-64,13.5,9.85,730,34.94
1964-65,13.42,12.26,913,36.76
1965-66,12.57,10.4,827,43.07
1966-67,12.84,11.39,887,47.97
1967-68,14.99,16.54,1103,43.35
1968-69,15.96,18.65,1169,49.85
1969-70,16.63,20.09,1208,51.14
1970-71,18.24,23.83,1307,54.25
1971-72,19.14,26.41,1380,54.49
1972-73,19.46,24.74,1271,57.62
1973-74,18.58,21.78,1172,57.7
1974-75,18.01,24.1,1338,61.77
1975-76,20.45,28.84,1410,61.76
1976-77,20.92,29.01,1387,65.09
1977-78,21.46,31.75,1480,64.6
1978-79,22.64,35.51,1568,65.96
1979-80,22.17,31.83,1436,68.32
1980-81,22.28,36.31,1630,69.98
1981-82,22.14,37.45,1691,70.68
1982-83,23.57,42.79,1816,72.53
1983-84,24.67,45.48,1843,73
1984-85,23.56,44.07,1870,74.47
1985-86,23,47.05,2046,74.61
1986-87,23.13,44.32,1916,76.34
1987-88,23.06,46.17,2002,76.84
1988-89,24.11,54.11,2244,79.25
1989-90,23.5,49.85,2121,80.27
1990-91,24.17,55.14,2281,81.14
1991-92,23.26,55.69,2394,83.68
1992-93,24.59,57.21,2327,84.24
1993-94,25.15,59.84,2380,84.77
1994-95,25.7,65.77,2559,85.12
1995-96,25.01,62.1,2483,85.8
1996-97,25.89,69.35,2679,86.86
1997-98,26.7,66.35,2485,86.33
1998-99,27.52,71.29,2590,86.6
1999-00,27.49,76.37,2778,87.16
2000-01,25.73,69.68,2708,88.37
2001-02,26.34,72.77,2762,88.6
2002-03,25.2,65.76,2610,88.8
2003-04,26.59,72.16,2713,89.56
2004-05,26.38,68.64,2602,89.85
2005-06,26.48,69.35,2619,90.55
2006-07,27.99,75.81,2708,90.85
2007-08,28.04,78.57,2802,91.32
2008-09,27.75,80.68,2907,91.69
2009-10,28.46,80.8,2839,91.76
2010-11,29.07,86.87,2988,92.18
2011-12,29.86,94.88,3177,93.05
2012-13,30,93.51,3117,93.45
2013-14,30.47,95.85,3146,93.58
2014-15,31.47,86.53,2750,94.19
2015-16,30.42,92.29,3034,-
2016-17,30.79,98.51,3200,-
2017-18*,29.58,99.7,3371,-
